# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984 ensemble",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label	Enable	X/Longitude	Y/Latitude	Z/Altitude	Yaw	Pitch	Roll	Accuracy_X_(m)	Accuracy_Y_(m)	Accuracy_Z_(m)	Accuracy_Yaw/Pitch/Roll_(deg)	Error_(m)	X_error	Y_error	Z_error	Error_(deg)	Yaw_error	Pitch_error	Roll_error	X_est	Y_est	Z_est	Yaw_est	Pitch_est	Roll_est	X_var	Y_var	Z_var	Yaw_var	Pitch_var	Roll_var
DJI_20260722122431_0010_D.JPG	1	-5.556986	42.615029	934.723000	329.800000	-0.000000	0.000000	0.010240	0.011260	0.024040	10.000000																				
DJI_20260722122431_0010_MS_G.TIF	1	-5.556987	42.615030	934.716000	329.800000	0.100000	-0.000000	0.010240	0.011260	0.024040	10.000000																				
DJI_20260722122431_0010_MS_NIR.TIF	1	-5.556986	42.615030	934.716000	329.800000	0.100000	-0.000000	0.010240	0.011260	0.024040	10.000000																				
DJI_20260722122431_0010_MS_R.TIF	1	-5.556986	42.615030	934.716000	329.800000	0.100000	-0.000000	0.010240	0.011260	0.024040	10.000000																				
DJI_20260722122431_0010_MS_RE.TIF	1	-5.556986	42.615030	934.716000	329.800000	0.100000	-0.000000	0.010240	0.011260	0.024040	10.000000																				
DJI_20260722122435_0011_D.JPG	1	-5.557090	42.615163	934.862000	329.800000	-0.000000	0.000000	0.010300	0.011250	0.024060	10.000000																				
DJI_20260722122435_0011_MS_G.TIF	1	-5.557091	42.615164	934.854000	329.800000	0.100000	-0.000000	0.010260	0.011250	0.024070	10.000000																				
DJI_20260722122435_0011_MS_NIR.TIF	1	-5.557091	42.615164	934.854000	329.800000	0.100000	-0.000000	0.010260	0.011250	0.024070	10.000000																				
DJI_20260722122435_0011_MS_R.TIF	1	-5.557091	42.615164	934.854000	329.800000	0.100000	-0.000000	0.010260	0.011250	0.024070	10.000000																				
DJI_20260722122435_0011_MS_RE.TIF	1	-5.557091	42.615164	934.854000	329.800000	0.100000	-0.000000	0.010260	0.011250	0.024070	10.000000																				
DJI_20260722122439_0012_D.JPG	1	-5.557173	42.615267	934.961000	329.800000	-0.000000	0.000000	0.010230	0.011160	0.023810	10.000000																				
DJI_20260722122439_0012_MS_G.TIF	1	-5.557174	42.615268	934.953000	329.800000	0.100000	-0.000000	0.010210	0.011170	0.023810	10.000000																				
DJI_20260722122439_0012_MS_NIR.TIF	1	-5.557174	42.615268	934.953000	329.800000	0.100000	-0.000000	0.010210	0.011170	0.023810	10.000000																				
DJI_20260722122439_0012_MS_R.TIF	1	-5.557174	42.615268	934.953000	329.800000	0.100000	-0.000000	0.010210	0.011170	0.023810	10.000000																				
DJI_20260722122439_0012_MS_RE.TIF	1	-5.557174	42.615268	934.953000	329.800000	0.100000	-0.000000	0.010210	0.011170	0.023810	10.000000																				
DJI_20260722122442_0013_D.JPG	1	-5.557248	42.615364	935.057000	329.800000	0.100000	-0.000000	0.010130	0.011210	0.023770	10.000000																				
DJI_20260722122442_0013_MS_G.TIF	1	-5.557249	42.615365	935.049000	329.800000	-0.000000	0.000000	0.010130	0.011210	0.023770	10.000000																				
DJI_20260722122442_0013_MS_NIR.TIF	1	-5.557249	42.615365	935.049000	329.800000	-0.000000	0.000000	0.010130	0.011210	0.023770	10.000000																				
DJI_20260722122442_0013_MS_R.TIF	1	-5.557249	42.615365	935.049000	329.800000	-0.000000	0.000000	0.010130	0.011210	0.023770	10.000000																				
DJI_20260722122442_0013_MS_RE.TIF	1	-5.557249	42.615365	935.049000	329.800000	-0.000000	0.000000	0.010130	0.011210	0.023770	10.000000																				
DJI_20260722122445_0014_D.JPG	1	-5.557327	42.615465	935.148000	329.800000	-0.000000	0.000000	0.010090	0.011130	0.023580	10.000000																				
DJI_20260722122445_0014_MS_G.TIF	1	-5.557328	42.615466	935.139000	329.800000	0.100000	-0.000000	0.010090	0.011130	0.023580	10.000000																				
DJI_20260722122445_0014_MS_NIR.TIF	1	-5.557328	42.615466	935.139000	329.800000	0.100000	-0.000000	0.010090	0.011130	0.023580	10.000000																				
DJI_20260722122445_0014_MS_R.TIF	1	-5.557328	42.615466	935.139000	329.800000	0.100000	-0.000000	0.010090	0.011130	0.023580	10.000000																				
DJI_20260722122445_0014_MS_RE.TIF	1	-5.557328	42.615466	935.139000	329.800000	0.100000	-0.000000	0.010090	0.011130	0.023580	10.000000																				
DJI_20260722122448_0015_D.JPG	1	-5.557404	42.615563	935.240000	329.800000	-0.000000	0.000000	0.010140	0.011160	0.023500	10.000000																				
DJI_20260722122448_0015_MS_G.TIF	1	-5.557405	42.615564	935.232000	329.800000	-0.000000	0.000000	0.010130	0.011140	0.023490	10.000000																				
DJI_20260722122448_0015_MS_NIR.TIF	1	-5.557404	42.615564	935.232000	329.800000	-0.000000	0.000000	0.010130	0.011140	0.023490	10.000000																				
DJI_20260722122448_0015_MS_R.TIF	1	-5.557404	42.615564	935.232000	329.800000	-0.000000	0.000000	0.010130	0.011140	0.023490	10.000000																				
DJI_20260722122448_0015_MS_RE.TIF	1	-5.557404	42.615564	935.232000	329.800000	-0.000000	0.000000	0.010130	0.011140	0.023490	10.000000																				
DJI_20260722122451_0016_D.JPG	1	-5.557481	42.615659	935.324000	329.800000	-0.000000	0.000000	0.010030	0.011110	0.023460	10.000000																				
DJI_20260722122451_0016_MS_G.TIF	1	-5.557481	42.615660	935.316000	329.800000	0.100000	-0.000000	0.010080	0.011150	0.023590	10.000000																				
DJI_20260722122451_0016_MS_NIR.TIF	1	-5.557481	42.615660	935.316000	329.800000	0.100000	-0.000000	0.010080	0.011150	0.023590	10.000000																				
DJI_20260722122451_0016_MS_R.TIF	1	-5.557481	42.615660	935.316000	329.800000	0.100000	-0.000000	0.010080	0.011150	0.023590	10.000000																				
DJI_20260722122451_0016_MS_RE.TIF	1	-5.557481	42.615660	935.316000	329.800000	0.100000	-0.000000	0.010080	0.011150	0.023590	10.000000																				
DJI_20260722122453_0017_D.JPG	1	-5.557520	42.615709	935.370000	329.800000	-0.000000	0.000000	0.010080	0.011120	0.023470	10.000000																				
DJI_20260722122453_0017_MS_G.TIF	1	-5.557520	42.615710	935.362000	329.800000	0.100000	-0.000000	0.010000	0.011090	0.023450	10.000000																				
DJI_20260722122453_0017_MS_NIR.TIF	1	-5.557520	42.615710	935.362000	329.800000	0.100000	-0.000000	0.010000	0.011090	0.023450	10.000000																				
DJI_20260722122453_0017_MS_R.TIF	1	-5.557520	42.615710	935.362000	329.800000	0.100000	-0.000000	0.010000	0.011090	0.023450	10.000000																				
DJI_20260722122453_0017_MS_RE.TIF	1	-5.557520	42.615710	935.362000	329.800000	0.100000	-0.000000	0.010000	0.011090	0.023450	10.000000																				
DJI_20260722122500_0018_D.JPG	1	-5.557685	42.615919	935.562000	329.800000	-0.000000	0.000000	0.010040	0.011070	0.023280	10.000000																				
DJI_20260722122500_0018_MS_G.TIF	1	-5.557686	42.615920	935.555000	329.800000	-0.000000	0.000000	0.010040	0.011060	0.023270	10.000000																				
DJI_20260722122500_0018_MS_NIR.TIF	1	-5.557686	42.615920	935.555000	329.800000	-0.000000	0.000000	0.010040	0.011060	0.023270	10.000000																				
DJI_20260722122500_0018_MS_R.TIF	1	-5.557686	42.615920	935.555000	329.800000	-0.000000	0.000000	0.010040	0.011060	0.023270	10.000000																				
DJI_20260722122500_0018_MS_RE.TIF	1	-5.557686	42.615920	935.555000	329.800000	-0.000000	0.000000	0.010040	0.011060	0.023270	10.000000																				
DJI_20260722122503_0019_D.JPG	1	-5.557816	42.615975	935.665000	275.000000	-0.000000	0.000000	0.010100	0.011120	0.023320	10.000000																				
DJI_20260722122503_0019_MS_G.TIF	1	-5.557817	42.615975	935.657000	275.000000	-0.000000	0.000000	0.010090	0.011100	0.023310	10.000000																				
DJI_20260722122503_0019_MS_NIR.TIF	1	-5.557817	42.615975	935.657000	275.000000	-0.000000	0.000000	0.010090	0.011100	0.023310	10.000000																				
DJI_20260722122503_0019_MS_R.TIF	1	-5.557817	42.615975	935.657000	275.000000	-0.000000	0.000000	0.010090	0.011100	0.023310	10.000000																				
DJI_20260722122503_0019_MS_RE.TIF	1	-5.557817	42.615975	935.657000	275.000000	-0.000000	0.000000	0.010090	0.011100	0.023310	10.000000																				
DJI_20260722122506_0020_D.JPG	1	-5.557935	42.615938	935.796000	205.400000	-0.000000	0.000000	0.010400	0.011240	0.023500	10.000000																				
DJI_20260722122506_0020_MS_G.TIF	1	-5.557935	42.615937	935.788000	205.400000	-0.000000	0.000000	0.010250	0.011120	0.023650	10.000000																				
DJI_20260722122506_0020_MS_NIR.TIF	1	-5.557935	42.615937	935.788000	205.400000	-0.000000	0.000000	0.010250	0.011120	0.023650	10.000000																				
DJI_20260722122506_0020_MS_R.TIF	1	-5.557935	42.615937	935.788000	205.400000	-0.000000	0.000000	0.010250	0.011120	0.023650	10.000000																				
DJI_20260722122506_0020_MS_RE.TIF	1	-5.557935	42.615937	935.788000	205.400000	-0.000000	0.000000	0.010250	0.011120	0.023650	10.000000																				
DJI_20260722122509_0021_D.JPG	1	-5.557875	42.615841	935.879000	149.900000	0.100000	-0.000000	0.010020	0.011060	0.023220	10.000000																				
DJI_20260722122509_0021_MS_G.TIF	1	-5.557874	42.615840	935.870000	149.900000	0.100000	-0.000000	0.010020	0.011060	0.023220	10.000000																				
DJI_20260722122509_0021_MS_NIR.TIF	1	-5.557874	42.615840	935.870000	149.900000	0.100000	-0.000000	0.010020	0.011060	0.023220	10.000000																				
DJI_20260722122509_0021_MS_R.TIF	1	-5.557874	42.615840	935.870000	149.900000	0.100000	-0.000000	0.010020	0.011060	0.023220	10.000000																				
DJI_20260722122509_0021_MS_RE.TIF	1	-5.557874	42.615840	935.870000	149.900000	0.100000	-0.000000	0.010020	0.011060	0.023220	10.000000																				
DJI_20260722122513_0022_D.JPG	1	-5.557789	42.615733	935.977000	149.700000	0.100000	-0.000000	0.010060	0.011110	0.023170	10.000000																				
DJI_20260722122513_0022_MS_G.TIF	1	-5.557789	42.615732	935.968000	149.700000	0.100000	-0.000000	0.010050	0.011100	0.023160	10.000000																				
DJI_20260722122513_0022_MS_NIR.TIF	1	-5.557789	42.615732	935.968000	149.700000	0.100000	-0.000000	0.010050	0.011100	0.023160	10.000000																				
DJI_20260722122513_0022_MS_R.TIF	1	-5.557789	42.615732	935.968000	149.700000	0.100000	-0.000000	0.010050	0.011100	0.023160	10.000000																				
DJI_20260722122513_0022_MS_RE.TIF	1	-5.557789	42.615732	935.968000	149.700000	0.100000	-0.000000	0.010050	0.011100	0.023160	10.000000																				
DJI_20260722122516_0023_D.JPG	1	-5.557716	42.615640	936.056000	149.700000	0.100000	-0.000000	0.010110	0.010970	0.023070	10.000000																				
DJI_20260722122516_0023_MS_G.TIF	1	-5.557715	42.615639	936.048000	149.700000	-0.000000	0.000000	0.010100	0.010950	0.023060	10.000000																				
DJI_20260722122516_0023_MS_NIR.TIF	1	-5.557715	42.615639	936.048000	149.700000	-0.000000	0.000000	0.010100	0.010950	0.023060	10.000000																				
DJI_20260722122516_0023_MS_R.TIF	1	-5.557715	42.615639	936.048000	149.700000	-0.000000	0.000000	0.010100	0.010950	0.023060	10.000000																				
DJI_20260722122516_0023_MS_RE.TIF	1	-5.557715	42.615639	936.048000	149.700000	-0.000000	0.000000	0.010100	0.010950	0.023060	10.000000																				
DJI_20260722122519_0024_D.JPG	1	-5.557636	42.615540	936.147000	149.700000	0.100000	-0.000000	0.009990	0.010930	0.023030	10.000000																				
